佛得角共和国	🇨🇻
你好	👋
你妈死了	🤬
你自己	🫵
侦探	🕵️‍♂️ 🕵️‍♀️
侧手翻	🤸‍♂️ 🤸‍♀️
便便	💩
便利商店	🏪
便利店	🏪
便当	🍱
便当盒	🍱
便笺	📝
俄国	🇷🇺
俄罗斯	🇷🇺
俄罗斯套娃	🪆
俄罗斯联邦	🇷🇺
保加利亚	🇧🇬
保密	🤐
保龄球	🎳
保龄球瓶	🎳
信件	✉️
信号	📶
信号强度	📶
信号强度条	📶
信号灯	🚥 🚦
信封	✉️
信用卡	💳
信箱	📪
俩叹号	‼️
修理工	👨‍🔧 👩‍🔧
倒三角	🔻
倒垃圾	🚮
倒水	🫗
倒脸	🙃
倒退	◀️
倒退按钮	◀️
倒霉	😓
借记卡	💳
倾倒	🫗
倾倒液体	🫗
做指甲	💅
做美甲	💅
做造型	💇‍♂️ 💇‍♀️
做饭	👨‍🍳 👩‍🍳
停止	⏹️
停止播放	⏹️
停止标志	🛑
停车场	🅿️
停车按钮	🅿️
停车标志	🛑
停车让行	🛑
健身	💪
偷偷看	🫣
偷偷瞧	🫣
偷看	🫣
偷瞧	🫣
傍晚	🌆
傲慢	😤
傻瓜	🤪
傻瓜脸	🤪
傻笑	😆
傻逼	🤬
僵尸	🧟‍♂️ 🧟‍♀️
儿子	👦
儿童	🧒
儿童过街	🚸
元宵	⚪
兄弟	👬
光头	👨‍🦲 👩‍🦲 🦲
光头女	👩‍🦲
光头女人	👩‍🦲
光头女子	👩‍🦲
光头男	👨‍🦲
光头男人	👨‍🦲
光头男子	👨‍🦲
光明节	🕎
光环	😇
光盘	💽
光碟	💽
克利珀顿岛	🇨🇵
克尔白	🕋
克罗地亚	🇭🇷
免费	🆓
兑换	💱
兔	🐰
兔先生	👯‍♂️
兔头	🐰
兔女郎	👯‍♀️
兔子	🐰 🐇
兔子头	🐰
兔子脸	🐰
兔耳朵	👯‍♂️ 👯‍♀️
兔脸	🐰
入场券	🎟
全新	🆕
全莲花坐	🧘‍♂️ 🧘‍♀️
八	8️⃣
八点	🕗
八点半	🕣
八点钟	🕗
八爪鱼	🐙
八角星	✴️
八轮辐星号	✳️
公主	👸
公事包	💼
公交站	🚏
公交车	🚌 🚍
公交车站	🚏
公共广播	📢
公共汽车	🚌 🚍
公共汽车站	🚏
公园	⛲
公文包	💼
公牛	🐂
公羊	🐏
公路	🛣
公车	🚌 🚍
公鸡	🐓
六	6️⃣
六六六	🤙
六点	🕕
六点半	🕡
六点钟	🕕
六芒星	🔯
六角星	🔯
兰花指	🤌
关东煮	🍢
关岛	🇬🇺
关机	📴
关闭手机	📴
内心活动气泡	💭
内衣	👙
内裤	🩲
冈比亚	🇬🇲
冈比亚共和国	🇬🇲
再见	👋
冒汗	😅 😰 😓
冒汗焦虑	😰
冒热气的碗	🍜
写信	✉️
写字	✍️
写字板	📋
写字楼	🏢
军人	🪖
军功勋章	🎖
军功章	🎖
军用头盔	🪖
军盔	🪖
农夫	👨‍🌾
农妇	👩‍🌾
农民	👨‍🌾 👩‍🌾
农民工	👷‍♂️ 👷‍♀️
冠军	🏆
冥想	🧘‍♂️ 🧘‍♀️
冰	🧊
冰上溜石	🥌
冰冷	🥶
冰块	🧊
冰壶	🥌
冰岛	🇮🇸
冰沙	🍧
冰淇淋	🍦 🍨
冰激凌	🍦 🍨
冰球	🏒
冲浪	🏄‍♂️ 🏄‍♀️
冲浪者	🏄‍♂️ 🏄‍♀️
冷	🥶
冷冰冰	🥶
冷死	🥶
冷死了	🥶
冷汗	😅 😰 😓
冷脸	🥶
冷饮	🍹
冻僵	🥶
冻僵了	🥶
冻死	🥶
冻死了	🥶
凉鞋	🩴 👡
凋谢	🥀
减	➖
几内亚	🇬🇳
几内亚共和国	🇬🇳
几内亚比绍	🇬🇼
凤凰	🐦‍🔥
凤尾蝶	🦋
凤梨	🍍
凭据	🧾
凳子	🪑
出口成脏	🤬
出国	💱
出拳	👊
出生	🐣
出租车	🚕 🚖
击剑	🤺
击剑者	🤺
击剑选手	🤺
击掌	✋
刀	🔪
刀叉	🍴
划船	🚣‍♂️ 🚣‍♀️
划艇	🚣‍♂️ 🚣‍♀️
列支敦士登	🇱🇮
列车	🚄 🚅
刚果	🇨🇩 🇨🇬
刚果布	🇨🇬
刚果金	🇨🇩
创口贴	🩹
创可贴	🩹
刨冰	🍧
利比亚	🇱🇾
利比亚国	🇱🇾
利比里亚	🇱🇷
别墅	🏡
别说话	🤫
别针	🧷
刮胡刀	🪒
刷牙	🪥
刺猬	🦔
剃刀	🪒
剃须刀	🪒
前方施工	🚧
剑	⚔️
剑刃	⚔️
剑斗	🤺
剪刀	✂️
剪刀手	✌️
剪发	💇‍♂️ 💇‍♀️
剪头	💇‍♂️ 💇‍♀️
剪头发	💇‍♂️ 💇‍♀️
剪子	✂️
剪影	🗣 👤 👥 🫂
剪贴板	📋
割	🈹
办公室职员	👨‍💼 👩‍💼
办公楼	🏢
加	➕
加冰	🧊
加拿大	🇨🇦
加油	💪 ⛽
加油站	⛽
加纳	🇬🇭
加纳共和国	🇬🇭
加蓬	🇬🇦
加那利群岛	🇮🇨
动物脚印	🐾
动车	🚄 🚅
助听器	🦻
努力	💪
勋章	🎖
勺子	🥄
勾选	☑️ ✔
勿丢垃圾	🚯
勿扔垃圾	🚯
包包	👜
包装	🎁
包装盒	🎁
包裹	📦
匈牙利	🇭🇺
匕首	🗡
化学家	👨‍🔬 👩‍🔬
北朝鲜	🇰🇵
北极熊	🐻‍❄️
北极熊头	🐻‍❄️
北极熊脸	🐻‍❄️
北韩	🇰🇵
北马其顿	🇲🇰
匙子	🥄
匹诺曹	🤥
医护人员	👨‍⚕️ 👩‍⚕️
医生	👨‍⚕️ 👩‍⚕️
医疗标志	⚕
医疗符号	⚕
医院	🏥
十	🔟
十一点	🕚
十一点半	🕦
十一点钟	🕚
十二点	🕛
十二点半	🕧
十二点钟	🕛
十八禁	🔞
十字头盔	⛑️
十字安全帽	⛑️
十字架	✝️
十点	🕙
十点半	🕥
十点钟	🕙
升级	🆙
升降机	🛗
半夜	🌃
半身像	👤 👥
华夫饼	🧇
单峰驼	🐪
单峰骆驼	🐪
单曲循环	🔂
单板滑雪	🏂
单片眼镜	🧐
单眼	👁
单眼偷看	🫣
单眼吐舌	😜
单蛇之杖	⚕
单蛇杖	⚕
单车	🚲
单轨	🚝
单轨铁路	🚝
单选	🔘
单选按钮	🔘
单选框	🔘
